stop_id,name,lat,lon,type
s001,秋田駅,39.717019357078776,140.12970761121974,train
s002,道川駅,39.5606999569358,140.05707812656013,train
s003,岩城みなと駅,39.54566476958509,140.0552518744472,train
s004,羽後亀田駅,39.49395278265526,140.0631584591012,train
s005,折渡駅,39.4764834117797,140.09129771491976,train
s006,羽後岩谷駅,39.44221758335088,140.0907015284102,train
s007,羽後本荘駅,39.386725361252864,140.0575877762964,train
s008,西目駅,39.347452829776486,140.01794364189908,train
s009,酒田駅,38.922477108629245,139.84589479770628,train
s010,矢島駅,39.23036958499172,140.13929974745574,train
s011,川辺駅,39.2490140052346,140.1199043008159,train
s012,吉沢駅,39.26856264822668,140.1146342956603,train
s013,西滝沢駅,39.278385046273684,140.11643198422465,train
s014,久保田駅,39.295982480293084,140.1109930823719,train
s015,前郷駅,39.312657076170744,140.1127903553893,train
s016,曲沢駅,39.32098818604833,140.10167937063838,train
s017,黒沢駅,39.32038675932728,140.09325724077317,train
s018,鮎川駅,39.3283517445629,140.07133462920376,train
s019,子吉駅,39.3507395653301,140.0595553792428,train
s020,薬師堂駅,39.36805288750938,140.04823556553941,train
s021,桃野,39.22298489093242,140.06875419586135,bus
s022,谷地沢,39.21283862726763,140.0788398005687,bus
s023,柴倉,39.19791238236719,140.09412324316844,bus
s024,濁川,39.20227533413474,140.09577300332657,bus
s025,石滝,39.20443366116895,140.10099759160494,bus
s026,大谷地,39.20797200999363,140.1110865623014,bus
s027,熊之子沢,39.20309156232702,140.11356513609653,bus
s028,矢島駅前,39.23026705206389,140.1385810008288,bus
s029,寿康苑,39.23252405133645,140.13841281793418,bus
